,Store,keyword_food,keyword_loc,kakao_score,kakao_comment,google_score,google_comment,phone_num,address
65,강가,감자탕,서울 명동,4.6,16,4.4,31,02-2266-6066,서울 중구 수표로 15
66,흥부가,감자탕,서울 명동,4.1,43,4.2,161,02-2269-8110,서울 종로구 수표로20길 22
67,삼해집,감자탕,서울 명동,3.4,62,4.0,973,02-2273-0266,서울 종로구 수표로20길 16-15
68,최부자보쌈,감자탕,서울 명동,2.4,27,3.5,374,02-2272-4726,서울 종로구 수표로20길 22
69,개미식당,감자탕,서울 명동,4.3,15,4.4,64,02-745-6246,서울 종로구 대명길 35
70,또보겠지 떡볶이집 강남헬로몽키점,떡볶이,서울 강남,4.5,44,4.4,49,010-7355-1361,서울 강남구 봉은사로6길 30 2층
71,신전떡볶이 강남역점,떡볶이,서울 강남,2.2,18,3.1,32,02-558-8587,서울 강남구 강남대로94길 21 용정빌딩 1층 104호
72,우리할매떡볶이 강남세곡점,떡볶이,서울 강남,2.7,13,4.0,26,02-459-2235,서울 강남구 헌릉로569길 21-30 드림하이오피스텔 1층 115호
73,죠스떡볶이 강남중앙점,떡볶이,서울 강남,2.6,51,3.6,44,02-539-5399,서울 강남구 테헤란로1길 20 1층
74,신전떡볶이 강남논현점,떡볶이,서울 강남,2.2,12,3.0,33,02-515-6992,서울 강남구 학동로6길 3 1층
75,영동떡볶이,떡볶이,서울 강남,3.5,24,3.8,60,02-554-7372,서울 강남구 도곡로51길 31
76,서강쇠떡볶이 본점,떡볶이,서울 강남,2.4,26,3.4,66,02-501-7728,서울 강남구 강남대로66길 11
77,모범떡볶이와수제돈가스,떡볶이,서울 강남,3.1,14,3.9,141,02-561-5445,서울 강남구 테헤란로53길 14 세영빌딩 2층
78,맛짱떡볶이,떡볶이,서울 강남,2.3,23,3.9,128,02-549-9303,서울 강남구 강남대로122길 17
79,민들레떡볶이 역삼점,떡볶이,서울 강남,2.9,11,4.0,220,02-566-8070,서울 강남구 논현로94길 11 2층
80,루비떡볶이,떡볶이,서울 강남,3.4,59,3.9,299,02-516-7147,서울 강남구 선릉로153길 21
81,고씨떡볶이 삼성점,떡볶이,서울 강남,4.5,11,4.3,10,070-4046-5471,서울 강남구 봉은사로84길 34
82,동대문엽기떡볶이 양재점,떡볶이,서울 강남,3.2,13,3.6,86,02-577-8592,서울 강남구 남부순환로359길 8 2층
83,선릉역매운떡볶이 역삼점,떡볶이,서울 강남,3.6,18,3.7,14,02-6338-2506,서울 강남구 강남대로94길 75
84,신전떡볶이 대치점,떡볶이,서울 강남,2.5,22,3.6,101,02-554-5256,서울 강남구 선릉로 420 진선상가 102호
85,선릉역 영이네추억의떡볶이,떡볶이,서울 강남,3.8,15,4.1,16,02-575-6963,서울 강남구 남부순환로351길 14 1층
86,부자떡볶이,떡볶이,서울 강남,4.1,14,4.3,39,02-6083-2019,서울 강남구 언주로136길 27 1층
87,동대문엽기떡볶이 논현직영점,떡볶이,서울 강남,3.4,13,3.2,33,02-512-8592,서울 강남구 강남대로118길 37 2층
88,국대떡볶이 선릉역점,떡볶이,서울 강남,2.6,59,3.4,120,02-555-8896,서울 강남구 선릉로 424
89,동대문엽기떡볶이 역삼직영점,떡볶이,서울 강남,1.6,16,4.1,10,02-556-8592,서울 강남구 언주로 323 1층 101-1호
90,강남옛날돈까스즉석떢볶이 일식,떡볶이,서울 강남,2.4,11,3.6,127,02-516-3695,서울 강남구 학동로 223 대영빌딩 2층
91,분식이이래도되는가 강남신사점,떡볶이,서울 강남,3.7,11,4.3,10,02-3445-1985,서울 강남구 논현로151길 52 1층
92,이공족발 강남점,족발,서울 강남,3.2,12,3.9,88,02-558-2058,서울 강남구 강남대로106길 7 2층
93,완미족발 논현본점,족발,서울 강남,3.3,22,4.1,39,02-6952-9933,서울 강남구 강남대로118길 20 1층
94,가장맛있는족발 수서역점,족발,서울 강남,4.3,11,3.9,35,02-3412-3949,"서울 강남구 광평로 295 사이룩스 109,110호"
95,뽕족 강남역본점,족발,서울 강남,3.7,38,4.4,117,02-556-9279,서울 강남구 테헤란로4길 15 메가시티오피스텔 1층 102~104호
96,뽕나무쟁이 선릉본점,족발,서울 강남,4.1,162,4.2,1313,02-558-9279,서울 강남구 역삼로65길 31
97,황해도찹쌀순대,족발,서울 강남,4.2,18,3.8,489,02-557-6368,서울 강남구 역삼로3길 19
98,장독대김치찌개 청담점,김치찌개,서울 강남,3.1,19,3.6,361,02-543-7754,서울 강남구 도산대로102길 5 1층
99,육일점,김치찌개,서울 강남,4.1,18,4.1,212,02-486-8259,서울 강남구 언주로148길 6
100,명동찌개마을 신림점,김치찌개,서울 명동,1.7,15,3.8,20,02-875-2772,서울 관악구 신림로66길 10
101,명동찌개마을 종로직영점,김치찌개,서울 명동,3.9,14,3.9,215,02-2272-7747,서울 종로구 수표로20길 18 1층
102,창고43 명동점,육회,서울 명동,3.0,23,4.1,608,02-6031-0081,서울 중구 을지로 100 SK파인에비뉴빌딩 A동 지하1층
103,이남장 명동점,육회,서울 명동,3.8,27,4.2,225,02-3789-4247,"서울 중구 명동9길 39 1, 2층"
104,유가네닭갈비 명동2호점,닭갈비,서울 명동,2.5,13,4.0,651,02-3789-2492,"서울 중구 명동4길 8 2,3층"
105,유가네닭갈비 명동1호점,닭갈비,서울 명동,1.4,26,3.5,607,02-3789-3392,서울 중구 명동10길 7-4
106,유가네닭갈비 명동역점,닭갈비,서울 명동,3.3,13,3.5,120,02-775-3392,서울 중구 명동8가길 19 2층
107,유가네닭갈비 명동3호점,닭갈비,서울 명동,2.4,12,3.8,77,02-318-3367,서울 중구 명동8나길 22 유화빌딩 201호
108,은&정명동닭갈비,닭갈비,서울 명동,3.9,14,4.3,116,02-778-1988,서울 중구 명동7길 19 2층
109,광양불고기본가,불고기,서울 강남,3.0,12,3.8,302,02-567-8494,서울 강남구 도곡로99길 16 로열빌딩 1층
110,강남불백 강남2호점,불고기,서울 강남,3.4,23,4.2,82,02-501-8763,서울 강남구 강남대로94길 21 1층
111,사리원 도곡점,불고기,서울 강남,3.5,13,4.0,461,02-573-2202,서울 강남구 남부순환로 2712
112,황토감자탕 강남본점,감자탕,서울 강남,3.4,19,3.6,237,02-557-8739,서울 강남구 테헤란로1길 20
113,참이맛감자탕 강남점,감자탕,서울 강남,1.7,27,3.7,528,02-3481-3399,서울 서초구 사평대로56길 10
114,일품투가리감자탕 강남역점,감자탕,서울 강남,3.3,14,3.9,60,02-522-8555,서울 서초구 효령로77길 14
115,신동궁감자탕뼈숯불구이 선릉직영점,감자탕,서울 강남,3.4,82,4.0,871,02-558-7944,서울 강남구 선릉로86길 39
116,남다른감자탕 서울학동사거리점,감자탕,서울 강남,3.7,22,4.0,189,02-542-2110,서울 강남구 선릉로145길 21 1층
117,원조감자탕 일미집 역삼점,감자탕,서울 강남,3.8,13,4.4,149,02-556-5501,서울 강남구 논현로 409 1층
118,닭한마리감자탕 신사본점,감자탕,서울 강남,4.5,11,4.2,335,02-515-5220,서울 강남구 강남대로152길 14
119,할머니현대 낙지아구감자탕,감자탕,서울 강남,2.7,19,3.6,160,02-544-8020,서울 강남구 압구정로14길 11
120,장인닭갈비 강남점,닭갈비,서울 강남,3.1,229,3.8,731,02-3452-3441,서울 강남구 테헤란로1길 19 지하1층
121,덕이닭갈비닭찜 강남직영점,닭갈비,서울 강남,3.4,28,4.3,49,02-552-0757,"서울 강남구 테헤란로4길 46 쌍용플래티넘밸류 지하1층 132,133호"
122,유가네닭갈비 강남역점,닭갈비,서울 강남,2.6,24,3.9,401,02-534-9595,서울 강남구 강남대로 438 2층 214호
123,한가네숯불닭갈비 역삼점,닭갈비,서울 강남,3.1,13,3.9,326,02-557-4792,서울 강남구 테헤란로55길 15
124,하남돼지집 명동1호점,삼겹살,서울 명동,2.6,15,4.1,390,02-772-9995,서울 중구 명동9가길 12
125,교대이층집 시청점,삼겹살,서울 명동,4.1,44,4.2,186,02-318-6882,서울 중구 남대문로1길 38 2층
126,전주집,삼겹살,서울 명동,3.1,67,4.0,463,02-2268-6631,서울 중구 수표로 48-18
127,한도,삼겹살,서울 명동,3.4,13,4.2,332,02-2279-8742,서울 종로구 수표로18길 24
128,교대이층집 광화문점,삼겹살,서울 명동,3.9,78,4.0,626,02-723-6692,서울 종로구 삼봉로 95
129,통큰무한삼겹 서울역점,삼겹살,서울 명동,4.5,15,4.2,30,02-313-0091,서울 중구 만리재로 217
130,나리의집,삼겹살,서울 명동,3.1,83,3.9,718,02-793-4860,서울 용산구 이태원로 245
131,완백부대찌개 삼겹살 종각점,삼겹살,서울 명동,2.6,19,3.7,41,02-2158-7953,"서울 종로구 종로 33 그랑서울 1층 111, 117, 118호"
132,육통령 명동본점,삼겹살,서울 명동,2.9,41,3.9,518,02-778-8592,서울 중구 명동8나길 37-2
134,대원집,삼겹살,서울 명동,3.2,18,4.0,332,02-777-2038,서울 중구 을지로3길 30-4
135,왕비집 명동2호점,삼겹살,서울 명동,3.5,11,4.7,539,02-3789-1946,서울 중구 명동9길 13 2층
136,화포식당 명동점,삼겹살,서울 명동,3.3,14,3.9,157,02-318-3282,서울 중구 명동7길 21 1층
137,돈돼지 명동점,삼겹살,서울 명동,1.4,11,3.0,39,02-776-3301,서울 중구 명동9길 33 1층
138,화포식당 시청점,삼겹살,서울 명동,4.4,56,4.3,385,02-318-2382,서울 중구 남대문로1길 16 1층
139,신의주부대찌개 시청점,삼겹살,서울 명동,2.0,15,3.9,191,02-3789-1640,서울 중구 세종대로18길 24
140,한국관,삼겹살,서울 명동,1.5,126,4.0,528,02-771-8280,서울 중구 남대문로1길 51
141,신도세기 종로점,삼겹살,서울 명동,2.8,23,4.0,142,02-739-8114,서울 종로구 삼일대로17길 51 스타골드빌딩 1층
142,숙달돼지 종각점,삼겹살,서울 명동,2.3,18,4.2,241,02-737-5201,서울 종로구 종로8길 15 1층
143,시민식당,삼겹살,서울 명동,3.3,23,4.1,461,02-744-8292,서울 종로구 돈화문로5길 30
144,맛찬들왕소금구이 종로점,삼겹살,서울 명동,3.4,12,4.1,233,02-732-3236,서울 종로구 삼일대로17길 35 1~4층
145,평양고깃집,삼겹살,서울 명동,4.5,32,4.1,179,070-4419-4999,서울 종로구 인사동5길 14 2층
146,팔오삼,삼겹살,서울 명동,4.0,25,4.4,365,02-733-0853,서울 종로구 인사동12길 16 1층
147,두툼,삼겹살,서울 명동,4.0,134,4.3,655,02-392-8592,서울 중구 중림로 10 삼성사이버빌리지 3동 1층 105호
149,남영돈,삼겹살,서울 명동,4.0,194,4.5,535,02-793-3598,서울 용산구 한강대로80길 17 1층
150,장군보쌈족발,족발,서울 명동,4.1,13,3.8,307,02-778-2496,서울 중구 무교로 16
151,동두천솥뚜껑삼겹살 강남역점,삼겹살,서울 강남,2.1,16,3.6,36,02-568-8896,서울 강남구 테헤란로1길 20 2층
152,강남수랏간,삼겹살,서울 강남,2.9,17,4.0,423,02-567-5123,"서울 강남구 역삼로 410 1,2층"
153,행복추풍령칼삼겹살 압구정점,삼겹살,서울 강남,4.1,18,4.3,172,02-518-9996,서울 강남구 도산대로51길 41
154,순두부와삼겹살,삼겹살,서울 강남,3.8,12,4.0,64,02-542-9709,서울 강남구 영동대로86길 10-7
155,반갑다하대포 강남점,삼겹살,서울 강남,3.6,13,4.0,297,02-555-6823,서울 강남구 역삼로3길 7
156,동달식당 강남본점,삼겹살,서울 강남,2.9,16,3.9,839,02-3471-9700,서울 서초구 서운로 133
157,통돼지네 강남점,삼겹살,서울 강남,4.2,26,4.3,85,02-564-6649,서울 강남구 역삼로3길 17-5 1층
158,이층고깃집 강남구청역점,삼겹살,서울 강남,4.6,124,3.7,99,02-6014-4615,서울 강남구 선릉로129길 9-4 2층
159,하남돼지집 강남역1호점,삼겹살,서울 강남,2.6,23,4.1,366,02-591-1253,서울 서초구 서초대로73길 38
160,하남돼지집 강남구청점,삼겹살,서울 강남,3.1,14,4.0,178,02-512-2292,서울 강남구 선릉로 647 영광빌딩 1층
161,육전식당 4호점,삼겹살,서울 강남,4.1,115,4.3,707,02-3452-6373,서울 강남구 테헤란로8길 11-4 1층
162,화떡,떡볶이,서울 명동,3.7,43,4.0,180,02-772-9991,"서울 중구 명동4길 15 2,3층"
163,신세계떡볶이,떡볶이,서울 명동,3.8,115,4.1,141,02-778-1680,서울 중구 명동9길 8-1 1층
164,두끼떡볶이 명동점,떡볶이,서울 명동,3.3,16,4.2,52,02-318-1333,서울 중구 명동10길 35-3 2층
165,꿈떡 꿈떡 종로 직영점,떡볶이,서울 명동,4.5,23,4.4,30,02-722-7223,서울 종로구 종로 19 르메이에르빌딩 지하1층
166,빌라드스파이시 광화문D타워점,떡볶이,서울 명동,2.6,19,3.9,61,02-2251-8388,서울 종로구 종로3길 17 308호
167,랑만궁떡,떡볶이,서울 명동,4.2,24,4.2,17,02-745-0008,서울 종로구 삼일대로30길 42 1층
168,로뎀나무,떡볶이,서울 명동,3.9,33,4.1,170,02-755-5711,서울 중구 정동길 2-2
169,먹쉬돈나 삼청동점,떡볶이,서울 명동,2.7,65,4.0,1010,02-723-8089,서울 종로구 율곡로3길 74-7
170,서울역철도떡볶이,떡볶이,서울 명동,4.0,24,4.5,29,02-703-7222,서울 용산구 청파로93길 18-1
171,진아네떡볶이,떡볶이,서울 명동,2.5,13,4.2,111,02-2275-8078,서울 중구 퇴계로56길 52 1층
172,와우신내떡,떡볶이,서울 명동,4.5,49,4.5,136,02-704-8485,서울 용산구 청파로45길 12-1 1층
173,장충떡복이,떡볶이,서울 명동,3.5,11,4.4,48,02-2269-5678,서울 중구 퇴계로56길 55
174,아이러브신당동,떡볶이,서울 명동,2.3,83,3.6,2111,02-2232-7872,서울 중구 퇴계로76길 50 성환빌딩 1층
175,우정,떡볶이,서울 명동,3.3,31,4.1,501,02-2233-0669,서울 중구 퇴계로76길 55 1층
176,동대문엽기떡볶이 서대문점,떡볶이,서울 명동,2.9,11,4.2,34,02-363-8592,서울 서대문구 경기대로 90 1층
177,우리집떡볶이,떡볶이,서울 명동,2.8,12,4.1,215,02-2232-4531,서울 중구 다산로 217-1
178,원조정할머니 기름떡볶이,떡볶이,서울 명동,3.2,34,3.8,18,02-735-7289,서울 종로구 자하문로11길 40 통인시장
179,진미떡볶이,떡볶이,서울 명동,3.4,57,3.7,322,02-2252-5889,서울 중구 다산로38길 60 1층 103호
180,먹보대장 을지로점,떡볶이,서울 명동,2.0,13,4.0,93,02-777-8077,"서울 중구 을지로 54-1 지하1층 57,59,70,72,74호"
181,창화당 익선동점,떡볶이,서울 명동,3.4,109,3.8,727,070-8825-0908,서울 종로구 수표로28길 23
182,교촌치킨 강남역점,치킨,서울 강남,3.5,11,4.1,106,02-596-1991,서울 강남구 강남대로98길 11 메트로빌딩 1층
183,교촌치킨 역삼1호점,치킨,서울 강남,2.5,32,3.8,220,02-566-9942,서울 강남구 강남대로66길 16 1층
184,효도치킨 논현점,치킨,서울 강남,3.9,19,4.3,132,02-518-0628,서울 강남구 도산대로46길 21 한진로즈힐아파트 101동 지1층 B120호
185,맘스터치 강남논현점,치킨,서울 강남,1.9,44,3.7,383,02-3446-7776,서울 강남구 강남대로120길 47
187,백제삼계탕,삼계탕,서울 명동,3.8,16,3.9,778,02-776-3267,서울 중구 명동8길 8-10
192,금성스테이크부대찌개,부대찌개,서울 강남,3.1,21,3.7,230,,서울 강남구 언주로174길 26 남강빌딩 1층 2호
196,강남면옥 성수점,갈비찜,서울 강남,2.9,42,3.7,752,02-6968-0800,서울 성동구 성수일로 77
201,맘스터치 서울시청점,치킨,서울 명동,2.0,31,3.9,228,,서울 중구 무교로 12 정오빌딩 2층
209,사랑의불고기,불고기,서울 명동,3.0,13,3.5,24,,서울 용산구 이태원로55가길 26-1
211,한일관 을지로점,불고기,서울 명동,3.1,18,3.9,194,02-6353-8976,서울 중구 을지로5길 19 페럼타워 빌딩 지하 1층
219,신촌설렁탕 역삼점,설렁탕,서울 강남,2.8,14,4.0,21,02-501-3322,서울 강남구 강남대로94길 59 옥산빌딩 1층
220,신촌설렁탕 대치점,설렁탕,서울 강남,3.3,11,3.9,84,02-569-0159,서울 강남구 도곡로63길 13
221,일미집 을지로입구점,감자탕,서울 명동,3.4,11,3.8,61,,서울 중구 을지로3길 22 1층
243,족발보쌈마을,족발,서울 강남,3.6,13,3.8,49,02-567-2772,서울 강남구 테헤란로104길 11 2층
246,봉시김치찌개,김치찌개,서울 강남,4.2,13,4.3,126,02-572-0709,서울 강남구 논현로28길 45 1층
247,뉴욕김치찌개,김치찌개,서울 강남,3.6,14,3.9,51,,서울 강남구 역삼동 825-19 센트럴푸르지오시티 지하2층 B206호
258,신동궁감자탕 역삼본점,감자탕,서울 강남,3.5,98,4.0,540,,서울 강남구 테헤란로10길 21
259,삼식이감자탕,감자탕,서울 강남,3.9,46,4.5,446,02-529-0828,서울 강남구 논현로34길 19 1층 101호
261,신사골감자탕 삼성점,감자탕,서울 강남,3.7,13,4.3,37,02-553-5252,서울 강남구 삼성로104길 8 1층
270,익선세겹살,삼겹살,서울 명동,2.1,16,3.9,68,,서울 종로구 수표로28길 45
271,원동미나리삼겹살,삼겹살,서울 명동,3.7,37,4.3,46,0507-1441-9938,서울 용산구 한강대로77길 4-1 1층
278,그냥밥집,삼겹살,서울 명동,4.2,11,4.4,42,02-778-7973,서울 중구 퇴계로12길 53
279,해든,삼겹살,서울 명동,4.1,25,4.4,31,,서울 중구 퇴계로27길 45 1층
281,한국관,삼겹살,서울 명동,2.2,42,4.0,528,02-2275-8253,서울 중구 을지로 110-1
286,풍문고기집,삼겹살,서울 명동,2.8,32,4.0,405,0507-1407-6252,서울 중구 세종대로2길 6-1
288,반갑다하대포,삼겹살,서울 명동,1.8,23,3.9,192,02-723-6699,서울 종로구 종로9길 8
289,숭례회관,삼겹살,서울 명동,2.7,16,3.6,49,02-318-1219,서울 중구 세종대로 13 2층
291,사랑방 참숯화로구이,삼겹살,서울 명동,4.4,23,4.4,145,02-774-5950,서울 용산구 신흥로36길 4
299,고기꾼김춘배 강남점,삼겹살,서울 강남,3.8,41,3.9,213,,서울 강남구 강남대로100길 13 3층
313,뽀뽀치킨,떡볶이,서울 명동,2.6,12,3.6,261,,서울 중구 퇴계로 68-1
314,종로분식,떡볶이,서울 명동,2.7,29,3.8,71,,서울 종로구 종로 30 1층
